Ciliated_cells;Cilia_p_value;Club_cells;Club_p_value;Endothelial_Cells;Endothelial_p_value;Epithelial_AT1_ME18.5;Epithelial_AT1_ME18.5_p_value;Epithelial_AT2;Epithelial_AT2_p_value;Lipo_Fibroblast;Lipo_Fibroblast_p_value;Matrix_Fibroblast;Matrix_Fibroblast_p_value;Myeloid_Immune Cells_ME18.5;Myeloid_Immune Cells_ME18.5_p_value;MyoFibroblast_ME18.5;MyoFibroblast_ME18.5_p_value
Rsph1;0;Foxa1;0.001637;Ldb2;0.002489;Enthd2;0.001298;5730408K05Rik;0.000429;Fubp1;0.002743;Gas7;0.003756;Evi2a-evi2b;0.000062;Cacnb3;0.000619
Serpina9;0;4930453N24Rik;0.001637;Amd2;0.002534;Dnajc25;0.001298;Bpifb5;0.000429;Stbd1;0.002748;Tle3;0.003839;Fcgr1;0.000062;Sema4g;0.000619
Smim5;0;Maff;0.001852;Cyp2d22;0.002578;Cenpv;0.001298;Klk14;0.000453;Snhg6;0.002776;Dnajc4;0.003853;AW112010;0.000062;Polr3h;0.000703
Spag17;0;Ccdc88c;0.002021;Ddx11;0.002688;Cdk6;0.001298;Piwil4;0.000453;Fopnl;0.00294;Hsdl2;0.003942;AI662270;0.000064;Gpc6;0.000805
Spag6;0;Arc;0.002053;Pcdh17;0.002744;Sema3e;0.001495;Trpv6;0.000464;Adamts1;0.003113;Zfp580;0.004092;Myo7a;0.000064;Casq1;0.000805
Spag8;0;Tspyl5;0.002143;Reep1;0.002824;4933426M11Rik;0.001533;Zfp607;0.000464;Agl;0.003168;Atp1a2;0.004199;Arpc1b;0.000065;Clip3;0.000805
Spata18;0;Plxnb1;0.002143;Smarca2;0.002983;Cdkn1b;0.001545;Gm5424;0.000482;Tbc1d7;0.003334;Chtf8;0.00428;Sh2d1b1;0.000065;Adamts8;0.000805
Spef2;0;6030458C11Rik;0.002143;Igip;0.003049;Bend4;0.001593;Scd2;0.000491;Tlr8;0.003334;Wdr5;0.00428;Sirpb1b;0.000071;Pik3ip1;0.000895
Fhit;0;Stx19;0.002143;Armcx4;0.003117;Tirap;0.001708;Epcam;0.000527;Gata5;0.003334;Adamts2;0.004402;Evl;0.000071;Cenpq;0.001001
Fitm2;0;Fahd1;0.00222;Acer2;0.003168;Mpp7;0.001731;Ubr1;0.000541;Glis3;0.003334;Tmem38b;0.004666;Coro2a;0.000072;Gm15446;0.001025
Foxj1;0;Pus1;0.002563;Tcf4;0.003241;Rai14;0.001765;Fam69b;0.000553;Phex;0.003334;Litaf;0.004754;Pkib;0.000072;Slc22a21;0.001041
Fsip1;0;Timm10;0.002563;Fas;0.00342;Serinc5;0.001777;Fzd8;0.000553;Zfhx2;0.003342;Nid1;0.004876;Wipf1;0.000076;Chn1;0.001125
Gad1os;0;Ppl;0.002671;Kdr;0.003492;Ints9;0.001815;Oat;0.000559;Drap1;0.003529;G0s2;0.005104;Fam105a;0.000085;Rcn2;0.001156
Glb1l;0;Dtna;0.002728;Jup;0.003517;Smim7;0.001842;Dpp9;0.00056;Pcmtd2;0.003533;Dpep1;0.005104;Gm14005;0.000087;Evc2;0.001208
Gm11992;0;Col4a6;0.003047;Gimap1;0.003665;Fam174b;0.001949;Atp6v1b2;0.000581;Traf2;0.003591;Prkab2;0.005147;1810033B17Rik;0.000092;Kpna4;0.001229
Gm166;0;Akap7;0.003196;Fam212a;0.004166;Erbb3;0.002144;Cst8;0.00061;Lemd3;0.003591;Ciz1;0.005245;Cebpb;0.000093;Ednrb;0.001256
Gm973;0;Tspan1;0.003196;Fry;0.004242;Zfp937;0.00215;Sowahb;0.00061;Klhl2;0.003597;Bgn;0.005281;Ccl4;0.000099;Fkbp7;0.001273
Gper1;0;Kcnk1;0.003262;Tomm40l;0.004324;Tecrl;0.002316;Emc9;0.00061;Sep.04;0.0037;Xdh;0.00546;Cd84;0.000109;Eif3d;0.001459
Gpr155;0;Ddr1;0.003262;Cdipt;0.004341;2810474O19Rik;0.002339;Fam101a;0.00061;Sybu;0.004092;Rabep1;0.005511;Tifa;0.000115;Tagln;0.001479
Gpt2;0;4930556M19Rik;0.003262;Kitl;0.004472;Pdzk1ip1;0.002463;Cyb561d1;0.00061;Ercc5;0.004206;Pcolce;0.005756;Sh3bp2;0.000115;Pygb;0.001495
Hydin;0;Tmie;0.003406;Ablim1;0.004547;Ctdspl;0.002513;Slc25a33;0.00061;Slc7a10;0.00428;Dmwd;0.005895;A630033H20Rik;0.000115;Itgav;0.001528
Intu;0;Tyro3;0.003406;Arl2bp;0.00466;Rab11fip1;0.002515;Pla2g4c;0.00061;4931406C07Rik;0.004403;Isoc1;0.006065;Pmaip1;0.000115;Dzip1;0.001668
Iqca;0;Celsr2;0.003406;Lta4h;0.004745;Rab13;0.002527;Ovol2;0.00061;Upf2;0.004454;Heatr6;0.006144;Emr4;0.000115;Col5a1;0.001676
Iqub;0;Tbc1d30;0.003406;Cog1;0.00476;Bmpr1a;0.002614;Matn4;0.00061;Dock4;0.004685;Ptgs2;0.006167;Amz1;0.000115;Cd248;0.001755
Itpka;0;Sla2;0.003406;Hspa12b;0.00476;Pard6b;0.002664;Lhpp;0.00061;Mrps6;0.004972;Zbtb5;0.006167;Sp110;0.000116;2610306M01Rik;0.001755
Klhdc9;0;Sntb1;0.003406;Jak1;0.004836;Rhof;0.002664;Itih4;0.00061;Ppm1a;0.005104;Ttf1;0.006377;F13a1;0.000124;Synpo2;0.001755
Kndc1;0;Snx31;0.003406;Rsrc1;0.004892;Itga3;0.002733;Hkdc1;0.00061;Uvssa;0.005129;Zfp395;0.006426;Ifi204;0.000126;Tnnt2;0.001755
1110017D15Rik;0;Proser2;0.003406;Rtp4;0.004913;Atxn1;0.00279;Galnt13;0.00061;Mto1;0.005147;Dis3l2;0.006526;C1qc;0.000126;Pigs;0.001795
1700001C02Rik;0;Ninl;0.003406;Ccdc28b;0.005063;Elmo3;0.002853;Gm15663;0.00061;Ifngr1;0.005272;Palld;0.007026;Cytip;0.000142;Tmed8;0.00188
1700001L19Rik;0;Mettl18;0.003406;Gata2;0.005096;2010111I01Rik;0.002932;Gm8909;0.00061;Exoc1;0.005419;Lmbr1;0.007177;Arhgap15;0.000144;Rnf170;0.001936
1700003E16Rik;0;Lpar3;0.003406;Ric8b;0.005244;Aldh6a1;0.002952;Wdr31;0.00061;Tmem8b;0.005538;Ppap2b;0.007308;Ccr5;0.000145;Rpa1;0.002151
1700003M02Rik;0;Bcl2l14;0.003406;St6galnac3;0.005501;Atoh8;0.003162;Xrcc6bp1;0.00061;Mtus1;0.00573;Mmp8;0.007362;Ttc7;0.000145;Igf2;0.002201
1700007G11Rik;0;Alg8;0.003406;Slfn5;0.005627;Myo5b;0.00329;Atad3aos;0.00061;Shc1;0.005753;Slc25a42;0.007362;Pou2f2;0.000145;Prss23;0.002428
1700007K13Rik;0;9930104L06Rik;0.003406;Mlkl;0.005771;Usp11;0.00348;C2cd2l;0.00061;Ccbe1;0.005756;F830016B08Rik;0.007362;Pik3cd;0.000145;Cttnbp2;0.002428
1700009P17Rik;0;2610018G03Rik;0.003406;Tbcd;0.006333;BC005537;0.003493;Timm9;0.000618;Recql;0.005762;E130102H24Rik;0.007362;Tnfaip3;0.000148;Gmpr;0.002438
1700016K19Rik;0;Nr1d1;0.003494;Pde9a;0.006407;Icam1;0.003737;Fam57a;0.000618;Ddx24;0.005846;Cep85;0.007362;Aim2;0.00015;Dclk1;0.002704
1700026D08Rik;0;Ap5m1;0.003494;Arhgef15;0.006781;Slc12a5;0.00382;Tbc1d4;0.000651;Slc17a5;0.006065;Pdzrn3;0.007697;Cyp4f16;0.000158;Bmp6;0.002704
1700028P14Rik;0;Vnn1;0.003527;2810025M15Rik;0.006833;Slc1a1;0.00382;Rbpjl;0.000657;Katnbl1;0.006128;Gnl3l;0.007789;Arhgdib;0.000163;Pus3;0.002704
1700037C18Rik;0;Gmnn;0.003864;Mcf2l;0.006885;Arrdc1;0.003843;Galk2;0.000658;Slc35a2;0.006167;Nrcam;0.007882;4930506M07Rik;0.000167;Gstm7;0.002704
1700086L19Rik;0;Rfx1;0.003864;Add3;0.006891;Kbtbd2;0.003865;Ap1g1;0.000678;Upk1b;0.006167;Ap1m1;0.007961;Ccl9;0.000167;Soga1;0.002748
2010015L04Rik;0;Atr;0.003937;Flnb;0.006999;Dlk2;0.004409;Kcnj15;0.000683;Ezh2;0.006197;Pter;0.008189;Cd300a;0.000167;Sgpl1;0.00307
2410004P03Rik;0;Fam69a;0.003946;Mapk11;0.007229;Ildr1;0.004409;Foxp4;0.00069;Vav3;0.006526;Reps1;0.008339;Samsn1;0.00018;Anapc5;0.003091
2610028H24Rik;0;Trip6;0.00428;4930578C19Rik;0.007229;Gatad2a;0.00441;Pde7b;0.000707;Svep1;0.006561;Btbd2;0.008348;Slfn9;0.00018;Cnn1;0.003334
4833427G06Rik;0;Mmgt1;0.00428;Polr1e;0.007229;Rabgap1l;0.004411;Xrcc5;0.000737;Nlgn2;0.006561;Pkd1;0.008565;Trim30b;0.000182;Tspyl2;0.003334
4930444F02Rik;0;Gsta4;0.004385;Dhx35;0.007229;Dag1;0.004807;Irx2;0.000738;Ppil4;0.006989;Nap1l1;0.008655;Ncf1;0.000183;Mrvi1;0.003334
4930451C15Rik;0;Bex1;0.00452;Dock9;0.007252;Dxo;0.005077;Irf2bp2;0.000782;Lrp4;0.00714;Arhgap20;0.008837;Ptpn6;0.000189;Rrad;0.003334
4930529M08Rik;0;Tbc1d8;0.004531;Wasf2;0.007394;Slc36a4;0.005077;Tfcp2l1;0.000785;Apobr;0.007362;Rab2b;0.009136;Ms4a6d;0.000194;Etv1;0.003336
6430531B16Rik;0;Aldh1a7;0.004665;Tmcc2;0.00752;Pkp2;0.005077;Sox12;0.000786;Sumf1;0.007366;Hyi;0.009423;Ikzf1;0.000194;Prr14l;0.003377
6820408C15Rik;0;Asb13;0.004722;0610010K14Rik;0.007548;Add2;0.005077;Uhrf1bp1l;0.000806;Krt80;0.007465;Car14;0.009613;Fcgr2b;0.000194;Cul2;0.003759
A730020E08Rik;0;Id1;0.004802;Depdc1a;0.007913;Eya2;0.005077;Tmem245;0.00082;Cdan1;0.007889;Gstm5;0.010281;AI413582;0.000194;Il1rap;0.003806
AK129341;0;Cecr6;0.004859;Zfp772;0.008218;Pitpnm3;0.005184;Lamc2;0.000845;Cited2;0.007947;Ing1;0.010287;Cxcl2;0.000209;Socs2;0.003819
Acox2;0;Epb4.1l4a;0.004859;Zfp954;0.008218;Fam60a;0.005337;Herpud1;0.000845;Adamts17;0.007961;Acadsb;0.010287;Itgal;0.000211;Angpt2;0.004158
Agbl2;0;Gm933;0.004859;Lgals9;0.00829;5430416O09Rik;0.005359;Chia1;0.000873;Fhod1;0.007962;Spon1;0.010356;Slc12a7;0.000214;Bcl11a;0.00428
Agr3;0;Hdac8;0.004859;Cdc42ep1;0.00839;Kazn;0.005359;Secisbp2l;0.000886;Kti12;0.008189;Pold4;0.0109;Mrc1;0.000214;Gm13889;0.004326
Fam47e;0.000001;Vasn;0.004929;Tnfsf10;0.008616;Zfp579;0.005359;Tc2n;0.001013;Eral1;0.008596;Rrp36;0.011249;H2-K1;0.000221;Cdca7;0.004402
Fam83e;0.000001;Slc30a5;0.005221;Sipa1l1;0.008688;Zfp462;0.005359;Insig1;0.001016;Fam124b;0.008757;Cd37;0.011249;Prex1;0.000224;Setd7;0.004416
Fank1;0.000001;Dync2li1;0.005221;Habp4;0.008777;Hdgf;0.00537;Flcn;0.001044;Runx2;0.008757;Bckdhb;0.011249;Rap2b;0.000228;2410002F23Rik;0.004685
LOC102633315;0.000001;Actr8;0.00537;Cox19;0.008858;Hs2st1;0.005459;Erlin2;0.001044;Vps13d;0.009145;Ppara;0.011249;Rhoh;0.000233;1500009L16Rik;0.004784
Ldlrad1;0.000001;Tmx4;0.00537;Sox11;0.008994;Got2;0.0055;Rab4a;0.001077;Eml1;0.009362;Dusp12;0.011249;Tlr1;0.000233;Lpp;0.004876
Lrdd;0.000001;Snx21;0.005473;Adcy4;0.009193;Arhgap22;0.005732;Isca1;0.001105;Psmb4;0.009847;Lipa;0.011383;Slfn1;0.000233;Egfem1;0.004931
Lrrc43;0.000001;Akr7a5;0.005631;Grwd1;0.009324;Ehd2;0.005755;Fgfr2;0.001118;Aamp;0.010525;Kidins220;0.012153;Elovl6;0.000233;Psd3;0.005021
Mapk8ip1;0.000001;Wfdc1;0.005631;Mcam;0.009688;Fntb;0.005775;Grpel2;0.00112;Gatad2b;0.010617;Emp3;0.012893;Cyp27a1;0.000233;Zfp523;0.005147
Mar.10;0.000001;Myh7;0.005665;Pdgfd;0.009722;Myof;0.005791;Fam71a;0.001155;Asun;0.010868;Trip10;0.01295;Gm12250;0.000233;Scara5;0.005147
Mgl2;0.000001;Scgb3a2;0.005973;Npdc1;0.009722;Radil;0.005833;Anpep;0.001155;Plekha6;0.011249;Satb1;0.013122;Gbp5;0.000233;Pask;0.005147
Mmp3;0.000001;Stat2;0.006075;Camk4;0.009765;Gm561;0.005999;Nucb2;0.001295;Col13a1;0.011249;Mrpl15;0.013358;Fgf13;0.000233;Iigp1;0.005203
Mtl5;0.000001;Mrps10;0.006091;Gm2897;0.010411;Myo1c;0.006085;Galnt2;0.001317;Gm14436;0.011549;Man1c1;0.013448;Fcrl1;0.000233;Ldlrad4;0.005419
Mylk3;0.000001;Smim3;0.006425;Hbb-y;0.010963;Nckap5;0.006152;Tmem97;0.001404;Mxd1;0.012365;Zfp667;0.013448;Exo1;0.000233;Tbc1d12;0.005598
Nhlrc4;0.000001;Ide;0.006425;Tmem2;0.011657;Nsun4;0.006648;Bag3;0.001558;Abca7;0.013122;Sytl4;0.013496;Bcs1l;0.000233;Sh3bgr;0.006167
Nme9;0.000001;H6pd;0.006513;Zfp422;0.011808;Zfp30;0.006689;Cdk5rap3;0.001558;Zbtb6;0.013122;Usp35;0.013496;Apoc2;0.000233;Mllt11;0.006167
Nnmt;0.000001;Fuca2;0.006513;Rras;0.01182;Snx11;0.006689;Bri3;0.001558;AI504432;0.013122;Zfp2;0.013496;Ccl12;0.000233;Cspg4;0.006167
Npb;0.000001;Prep;0.006663;Prn;0.011932;Lgals4;0.006689;Tmem141;0.001649;Phlda3;0.013448;Zfp286;0.013496;Cd180;0.000233;Rbbp4;0.006434
Nrg1;0.000001;Ldhb;0.006663;Klf14;0.011932;Tbx6;0.006689;Slc16a1;0.001676;Cmbl;0.013496;1700105P06Rik;0.013496;Cd69;0.000233;Ctr9;0.006718
P2rx6;0.000001;Aaed1;0.006733;Ptpn4;0.011943;Dlg1;0.006735;Grb14;0.001718;Dnajb5;0.013496;A4galt;0.013496;Grap2;0.000233;Pard3;0.006989
Sptssb;0.000001;Tfrc;0.007037;Cav2;0.012408;Plekhb2;0.006886;Sgpp2;0.001736;E030003E18Rik;0.013496;A930015D03Rik;0.013496;I830077J02Rik;0.000233;Setd1b;0.007054
Ssmem1;0.000001;Dcxr;0.007067;Ktn1;0.012408;Pof1b;0.007029;Fam35a;0.001736;Clcnka;0.013496;Adamdec1;0.013496;Lrrc4c;0.000233;Ism1;0.007362
Stmnd1;0.000001;Gstt2;0.007732;Sec22b;0.012583;Atxn1l;0.007029;Ero1lb;0.001854;Bcas3os1;0.013496;Asprv1;0.013496;Mroh2a;0.000233;Igfbp3;0.007362
Syt5;0.000001;Cbr2;0.007787;Zc4h2;0.012985;Crlf3;0.007105;Baiap2;0.001868;A830082K12Rik;0.013496;BC037032;0.013496;Mthfd1l;0.000233;Aph1b;0.007362
Tcte3;0.000001;Cyp2f2;0.007787;Arhgef2;0.01302;Mvb12b;0.007138;Pgm2;0.001873;A2m;0.013496;Card9;0.013496;Naip6;0.000233;Syde1;0.007366
Tctex1d4;0.000001;0610007P14Rik;0.007787;Pcbp3;0.013049;Cux1;0.00715;Exosc7;0.001949;5031434O11Rik;0.013496;Catsperg1;0.013496;Fgd4;0.00024;Hsd17b4;0.00739
Tmem102;0.000001;Smpd1;0.007925;Gimap8;0.013085;Ralbp1;0.007647;Lbp;0.00197;Uhmk1;0.013496;Chst8;0.013496;Sla;0.000243;Hhip;0.007807
Tmem132d;0.000001;Donson;0.007925;Phf20l1;0.013235;Rap1gap;0.007678;Vti1a;0.001979;Tnfaip8l3;0.013496;Ciart;0.013496;Gm1966;0.000253;Zak;0.007889
Tmem212;0.000001;Slc25a25;0.007927;Efnb2;0.013268;Gtpbp1;0.007703;Gif;0.002041;Spin2c;0.013496;Ctse;0.013496;Ms4a8a;0.000255;Rgs2;0.007892
Tmem215;0.000001;Repin1;0.008193;Smad5;0.01335;Rangap1;0.007773;Tex15;0.002109;Slc16a13;0.013496;D730005E14Rik;0.013496;Abhd12;0.000259;Txndc16;0.008105
Tmem54;0.000001;Klhdc10;0.008199;Asap1;0.013499;Zdhhc16;0.007921;Cpox;0.002249;Rom1;0.013496;E430018J23Rik;0.013496;Dock8;0.000287;Nedd1;0.008105
Tomm6os;0.000001;Tnfaip8;0.008199;Dhrs4;0.013846;Hba-a2;0.008122;Tnfsf9;0.002256;Nudt6;0.013496;Ephb2;0.013496;Abcc4;0.000292;Tsen2;0.008189
Tsnaxip1;0.000001;Ces1d;0.008218;Gdap10;0.013994;Nrbp2;0.008169;Zbtb18;0.002278;Plcxd2;0.013496;Gm6815;0.013496;Pirb;0.000299;Ncam1;0.008189
Tssk4;0.000001;Fam193b;0.008373;4931406P16Rik;0.014082;Polg;0.008296;Smcr8;0.002293;Nell1;0.013496;Grik5;0.013496;Hexb;0.000321;Nek4;0.008189
Ttc16;0.000001;Alg14;0.008463;Rbm48;0.014429;Nlk;0.008436;Prps2;0.002427;Ms4a7;0.013496;Gxylt2;0.013496;Fpr1;0.000328;Myom1;0.008189
Ubxn11;0.000001;Hp;0.008566;Ssfa2;0.014725;Snx13;0.008752;Coq3;0.002496;Mettl22;0.013496;Has2;0.013496;Nfam1;0.000341;1700029J07Rik;0.008189
Wbscr16;0.000001;Gstk1;0.008749;Zswim6;0.015193;Foxp2;0.008838;C1galt1c1;0.002858;Kcnn3;0.013496;Hist1h1a;0.013496;Tfec;0.000343;Ngrn;0.008189
Wdr38;0.000001;Mccc2;0.008854;Rpa3;0.015193;N4bp2;0.008985;Madd;0.002916;Zfp114;0.013496;Hoxa7;0.013496;C3ar1;0.000343;Flna;0.008285
Wdr63;0.000001;Wfdc2;0.008944;Ackr2;0.01561;Wdr74;0.009056;Ppp1r9a;0.003031;Zfp3;0.013496;Igfbp2;0.013496;Cxcr4;0.000344;Rock1;0.008285
Wfdc5;0.000001;Por;0.009036;Meis2;0.015804;Rnf38;0.009087;Nup93;0.003045;Zglp1;0.013496;Il1f9;0.013496;Gusb;0.000366;Med23;0.008339
Xkr4;0.000001;Rad23b;0.009263;Ltbp1;0.015818;Pcdhb17;0.009146;Zc3h8;0.003066;Fam163b;0.013496;Lzts3;0.013496;Lgals3;0.000383;Adck5;0.008757
Xrra1;0.000001;Phf6;0.009288;Ifnar1;0.015911;5330426P16Rik;0.009206;Yipf6;0.003158;Fam84a;0.013496;Nat14;0.013496;Abcd2;0.000386;Nexn;0.008788
Zfp474;0.000001;Scgb1a1;0.009332;Lats2;0.016442;Ccm2;0.009206;Ahcyl2;0.003207;Fcnb;0.013496;Nupl2;0.013496;Gda;0.00039;Map1b;0.009063
Zscan18;0.000001;Cacfd1;0.009355;Pura;0.017086;Rapgef4;0.009322;Fads1;0.003223;Fsd2;0.013496;Olfr457;0.013496;Clec12a;0.000391;Ncapg2;0.009136
4933405L10Rik;0.000001;Gpatch2;0.009355;Fmo1;0.017122;Rai1;0.009322;Cml1;0.003271;Gm17384;0.013496;Retnlg;0.013496;Imp4;0.000397;Sgcb;0.009242
4933407L21Rik;0.000001;Tcf20;0.009423;Trim24;0.017192;Mal;0.009414;Rerg;0.003405;Gm5084;0.013496;Rnmtl1;0.013496;Trex1;0.000411;Akr1b10;0.009423
4933417O13Rik;0.000001;Adi1;0.009513;Ptprg;0.017302;2310035C23Rik;0.009531;Pinx1;0.003405;Gpld1;0.013496;Ror1;0.013496;Nabp1;0.000432;Myh11;0.009585
5430402O13Rik;0.000001;F3;0.009621;Nostrin;0.01735;Dcun1d1;0.010217;Gstt1;0.003538;Insl3;0.013496;Serpina3g;0.013496;Edem1;0.000447;Nme4;0.009613
9330159M07Rik;0.000001;Cldn10;0.009965;Stk35;0.017426;Arhgef26;0.010425;Lin52;0.00375;Arl8b;0.013773;Slc2a12;0.013496;Lrmp;0.000471;Nr1d2;0.009613
A430078G23Rik;0.000001;Rfk;0.010093;Ppp3cc;0.017626;Fbxo46;0.010515;Crat;0.00383;Ept1;0.013844;Src;0.013496;Rinl;0.000471;Lgals1;0.009757
AI317395;0.000001;Fam13a;0.010255;Cdca4;0.017668;Trim11;0.010632;Txlng;0.003844;Qrich1;0.013915;Stfa3;0.013496;Plbd1;0.000471;Rbmxl1;0.009757
Abcb11;0.000001;Ifnlr1;0.010309;Prcp;0.017769;Cbl;0.010829;Eif3b;0.004536;Mir682;0.013935;Nt5c2;0.014571;Lair1;0.000512;Med12;0.009852
Abcg4;0.000001;Iyd;0.010309;Phlpp1;0.017771;Trp53bp2;0.010888;Ccdc141;0.004621;Comt;0.014353;Csf3r;0.015083;Traf5;0.00055;Myl9;0.009862
Abhd6;0.000001;Kctd14;0.010309;Micall2;0.018239;Amhr2;0.011257;Memo1;0.00467;Pacs1;0.014571;Gid4;0.015183;Mnda;0.00055;Ptk7;0.010482
Agr2;0.000001;Klhl29;0.010309;Slfn3;0.018239;Abca5;0.011362;Mapkbp1;0.004768;Snapc3;0.014571;Ssh2;0.01525;Phf11b;0.00055;Cald1;0.01051
Agtr1a;0.000001;Pde4a;0.010309;Zfp423;0.018239;Agap3;0.011431;Srebf2;0.004834;Herc4;0.014625;Plk3;0.015259;Efhd2;0.000562;Sema3c;0.011047
Ak8;0.000001;Zfp708;0.010309;Tex14;0.018239;Klf8;0.011614;Sptlc2;0.004911;Acap2;0.014685;Ube2l6;0.015417;Relt;0.000566;Rnf169;0.011182
Angpt4;0.000001;Zfp958;0.010309;Chst11;0.018239;Calml4;0.011614;Zc3h7b;0.004957;Kif1c;0.014857;Nsg1;0.015503;Apbb1ip;0.00058;Zfp219;0.011249
Arhgdig;0.000001;Nrarp;0.010309;Rcl1;0.018239;Icam4;0.011614;Gcat;0.004961;Robo2;0.014923;Fmo5;0.015503;4632428N05Rik;0.00058;Bmp2;0.011249
Arntl2;0.000001;Mlph;0.010309;Foxd2os;0.018239;Slc39a11;0.011614;Dpep2;0.005195;Hnrnpul1;0.015156;Sidt2;0.015506;Ncbp1;0.000596;Abi2;0.01131
Atp8b3;0.000001;Rbp4;0.010309;Icos;0.018239;Hist1h3e;0.011614;Dennd4c;0.005205;Rcan1;0.015211;Sh3pxd2a;0.016727;Grn;0.000623;H19;0.011338
B3galt1;0.000001;Rps6ka6;0.010309;Prr18;0.018239;Gm10677;0.011614;Epha7;0.005284;Gm15713;0.015211;Fkbp8;0.017408;Plcg2;0.000627;Msrb3;0.011717
B3gnt4;0.000001;Sac3d1;0.010309;Zfp369;0.018239;Gbp2;0.011614;Tmem135;0.005308;Ophn1;0.015211;Mst1r;0.017589;Camk1d;0.000627;Map3k12;0.011916
